tipo,id,seccion,categoria,titulo,texto,por_que,TU_MARCA,TU_CORRECCION
IDEA,post-3pasos-antes-firmar,post,consejo,Cómo revisar una propiedad antes de firmar,"tema: revisar una propiedad antes de firmar · paso_1_titulo: Los papeles. · paso_1_desc: Escrituras, predial al corriente y régimen de condominio si aplica. · paso_2_titulo: Los costos fijos. · paso_2_desc: Pregunta el mantenimiento mensual y exactamente qué incluye. · paso_3_titulo: La hora del día. · paso_3_desc: Vuelve a visitarla en otro horario. La luz y el ruido cambian por completo.",Consejo de compra con utilidad inmediata. Se guarda.,,
IDEA,post-3pasos-credito,post,consejo,Cómo empezar tu crédito hipotecario,tema: empezar tu crédito hipotecario · paso_1_titulo: Revisa tu buró. · paso_1_desc: Puedes consultarlo gratis una vez al año. Corrige lo que esté mal antes de pedir nada. · paso_2_titulo: Junta tus comprobantes. · paso_2_desc: Tres meses de ingresos demostrables es lo mínimo que te van a pedir. · paso_3_titulo: Pide tu precalificación. · paso_3_desc: Saber cuánto te prestan cambia por completo la lista de propiedades que vale la pena ver.,Ordena el proceso para quien no sabe por dónde empezar.,,
IDEA,post-requisitos-vender,post,requisitos,Requisitos para vender tu propiedad,"tramite: vender tu propiedad · requisito_1: Escrituras a tu nombre. · requisito_2: Predial al corriente. · requisito_3: Agua y servicios sin adeudo. · requisito_4: Régimen de condominio, si aplica. · requisito_5: Identificación oficial vigente.",Checklist de captación. Es la pieza que más conversaciones abre con dueños.,,
IDEA,post-requisitos-rentar,post,requisitos,Requisitos para rentar,"tramite: rentar una propiedad · requisito_1: Identificación oficial vigente. · requisito_2: Comprobantes de ingresos. · requisito_3: Un aval o fiador con propiedad. · requisito_4: Depósito en garantía. · requisito_5: Póliza jurídica, cuando la piden.",Le sirve al inquilino y te posiciona con quien renta.,,
IDEA,post-lista-revisar-zona,post,consejo,5 cosas que revisar antes de comprar en {zona},"zona: {zona} · ventaja_1: Cómo llegas en hora pico, no en el mapa. · ventaja_2: Qué se está construyendo a dos calles. · ventaja_3: El monto del mantenimiento y qué cubre. · ventaja_4: Estacionamiento asignado o de calle. · ventaja_5: Cuánto tarda en venderse lo que se publica ahí.",Lista numerada aplicada a tu zona. Mezcla consejo y territorio.,,
IDEA,post-mejores-desayunar,post,zonas,Los mejores lugares para desayunar en {zona},"zona: {zona} · ciudad: {ciudad} · lugar: lugares para desayunar · bajada: La zona que mejor conozco, también en fin de semana.","Contenido local puro. Atrae vecinos, que son quienes recomiendan.",,
IDEA,post-top5-razones,post,zonas,Top 5 razones para mudarte a {zona},"zona: {zona} · ciudad: {ciudad} · cosa: razones para mudarte · lugar_1: Llegas a todo caminando. · lugar_2: Buena conexión a las vías principales. · lugar_3: Oferta escolar cerca. · lugar_4: Comercio de barrio, no solo plazas. · lugar_5: Se rentan rápido, así que conserva valor.",Formato de lista con la zona como protagonista.,,
IDEA,post-frase-patrimonio,post,frase,Frase sobre patrimonio,"tema: Patrimonio · frase: Un patrimonio no se construye con suerte, se construye con decisiones ordenadas.",Frase corta sobre foto: el formato más publicado de todos.,,
IDEA,post-dato-mercado,post,dato,El dato de tu zona,tema: {zona} · bajada: Lo que veo en la zona este mes. · cta: ¿Te busco el de tu calle?,"Número grande. El campo va vacío: el dato lo pones tú, con fuente.",,
IDEA,carrusel-elegir-entre-dos,carrusel,consejo,Cómo elegir entre dos propiedades,"titulo: ¿Cómo eliges entre dos propiedades? · bajada: Cuando las dos te gustan, estas tres preguntas desempatan. · punto_1_titulo: ¿Cuál te deja mejor parado en cinco años? · punto_1_a: Piensa en cómo vas a vivir después, no solo hoy. · punto_1_b: La que se rente o se venda más rápido te da salida. · punto_2_titulo: ¿Cuál te cuesta menos cada mes? · punto_2_a: Suma mantenimiento, predial y servicios, no solo el precio. · punto_2_b: Dos precios iguales pueden dar costos muy distintos. · punto_3_titulo: ¿En cuál te imaginas un martes cualquiera? · punto_3_a: Los fines de semana todo se ve bien. Ve entre semana. · punto_3_b: Mide el trayecto real a tu trabajo en hora pico. · cierre: Si sigues empatado, es que falta información. · cta: Te ayudo a compararlas con datos, no con corazonadas.","El carrusel es el formato que más se guarda. Cinco páginas, tres ideas.",,
IDEA,carrusel-visita,carrusel,consejo,Qué revisar en una visita,"titulo: ¿Qué revisas cuando visitas una propiedad? · bajada: Lo que se ve en la foto es lo de menos. Esto es lo que importa. · punto_1_titulo: Abre y cierra todo. · punto_1_a: Puertas, ventanas y llaves de agua, una por una. · punto_1_b: Lo que raspa o gotea hoy, se paga después. · punto_2_titulo: Pregunta por los costos fijos. · punto_2_a: Mantenimiento mensual y qué incluye exactamente. · punto_2_b: Predial del año y si hay adeudos de servicios. · punto_3_titulo: Sal a la calle. · punto_3_a: Camina la cuadra: comercio, banquetas, iluminación. · punto_3_b: Fíjate dónde estacionarías si llegas de noche. · cierre: Una buena visita evita un mal año. · cta: Si quieres, te acompaño a la próxima.",Utilidad pura en formato carrusel. Se guarda y se reenvía.,,
IDEA SIN DISEÑO,reel-recorrido,sin_diseno,Reel,Recorrido de 20 segundos,Graba entrando a la propiedad y narra en voz alta lo primero que ves. Sin guion escrito: la voz natural retiene más que el texto en pantalla.,Es el formato que más alcance orgánico tiene hoy.,,
IDEA SIN DISEÑO,reel-mito,sin_diseno,Reel,Un mito de tu zona,"Empieza con «Todos creen que en {zona} ya no hay nada por debajo de X» y responde en tres frases. Habla a cámara, sin edición.","El desmentido genera comentarios, y el comentario es lo que empuja el alcance.",,
IDEA SIN DISEÑO,dm-visita,sin_diseno,Mensaje directo,Reactiva a quien te visitó,"Escríbele a las personas que visitaron una propiedad hace más de un mes y no cerraron: «Bajó el precio de la que viste en {zona}, ¿te la vuelvo a mandar?»","No es contenido, pero es lo que más rápido convierte.",,
IDEA SIN DISEÑO,comentario-pregunta,sin_diseno,Comentarios,Pregunta para responder tú,"Publica una pregunta abierta sobre tu zona y responde uno por uno en los comentarios, con nombre.",Responder personalmente multiplica el alcance del post original.,,
IDEA SIN DISEÑO,reel-antes-despues,sin_diseno,Reel,Antes y después de preparar una propiedad,Graba la propiedad como estaba y cómo quedó después de ordenarla y abrir cortinas. Sin edición: dos tomas y tu voz explicando qué cambiaste.,Muestra tu trabajo sin hablar de ti. Es de lo que más se comparte.,,
IDEA SIN DISEÑO,reel-pregunta-frecuente,sin_diseno,Reel,Responde la pregunta que más te hacen,"Habla a cámara y responde en treinta segundos la duda que más te repiten esta semana. Empieza con la pregunta textual, sin presentación.","Si te la preguntan a ti, se la están preguntando muchos más.",,
IDEA SIN DISEÑO,reel-recorrido-zona,sin_diseno,Reel,Camina tu zona,"Graba caminando por {zona} y señala tres cosas que un comprador no vería en una visita rápida: dónde se estaciona la gente, qué abre de noche, cómo se llena la calle en hora pico.","Te posiciona como quien conoce el lugar, no quien vende ahí.",,
IDEA SIN DISEÑO,historia-encuesta,sin_diseno,Historia con sticker,Encuesta de dos opciones,Sube una foto de una propiedad y pon una encuesta con dos opciones: «¿Comprarías o rentarías esta?». Responde por mensaje a quien vote.,El sticker de encuesta es la forma más barata de convertir vistas en conversaciones.,,
IDEA SIN DISEÑO,dm-precio-bajo,sin_diseno,Mensaje directo,Avisa de una bajada de precio,Escríbele a quien visitó una propiedad parecida y no cerró: «Bajó de precio una en {zona} que se parece a la que viste. ¿Te la mando?»,"No es contenido, pero es lo que más rápido se convierte en visita.",,
CAPTION,compra-dos-horarios,normal,consejo/compra,,"Antes de enamorarte de una propiedad, visítala a dos horas distintas del día. La luz cambia, el ruido cambia y el estacionamiento de la calle también. Es la prueba más barata que puedes hacer antes de decidir. {cta}",Consejo accionable que nadie da y que se puede aplicar el mismo día.,,
CAPTION,compra-precio-lista,normal,consejo/compra,,"El precio de lista no es el precio final, pero tampoco es una rifa. Si sabes qué se vendió cerca y en cuánto tiempo, negocias con datos en la mano. ¿Quieres saber cómo está {zona} hoy?",Ofrece información concreta a cambio de la conversación.,,
CAPTION,compra-mantenimiento,normal,consejo/compra,,La pregunta que casi nadie hace en una visita: ¿cuánto es el mantenimiento y qué incluye? Dos departamentos con la misma renta pueden costar muy distinto al final del mes.,Revela un costo oculto. Genera guardados.,,
CAPTION,renta-diez-minutos,normal,consejo/renta,,"Un inquilino decide en los primeros diez minutos de la visita. Lo que más pesa: la luz natural, el olor y qué tan fácil fue llegar. Prepara esos tres antes de publicar. {cta}","Le habla a quien va a rentar su propiedad, que es quien capta.",,
CAPTION,renta-no-es-tirar,normal,consejo/renta,,"Rentar no es tirar el dinero. Si vas a estar menos de tres años en la ciudad, casi siempre sale mejor rentar que comprar y volver a vender. Cuéntame tu caso y te digo qué te conviene.",Desarma una creencia común sin pelearse con ella.,,
CAPTION,venta-paisaje,normal,consejo/venta,,"Una propiedad bien puesta se vende; una mal puesta se vuelve parte del paisaje. Si lleva dos meses publicada y sin visitas, el problema casi nunca es el mercado. {cta}",Es la caption de captación más directa sin sonar a venta.,,
CAPTION,venta-papeles-antes,normal,requisitos/venta,,"Si vas a vender, ordena esto antes de publicar: escrituras, predial al corriente y el régimen de condominio. Juntarlos toma semanas, y siempre hacen falta justo cuando ya hay comprador.",Utilidad pura. Es de las que más se guardan y se reenvían.,,
CAPTION,credito-capacidad-primero,normal,consejo/credito,,"Antes de buscar propiedad, busca tu capacidad de crédito. Saber cuánto te prestan cambia por completo la lista de opciones y te ahorra visitas que no iban a funcionar. ¿Te ayudo a revisarlo?",Invierte el orden con el que la mayoría empieza.,,
CAPTION,credito-gastos-aparte,normal,consejo/credito,,"Tu enganche no es lo único que necesitas ahorrar. La escrituración, el avalúo y el notario se pagan aparte, y sorprenden a quien no los tenía contemplados.",Previene la sorpresa que más operaciones detiene.,,
CAPTION,requisitos-hipotecario,normal,requisitos/credito,,"Requisitos para un crédito hipotecario: identificación oficial, comprobantes de ingresos de los últimos tres meses, historial crediticio sano, enganche comprobable y el avalúo de la propiedad. Júntalos antes y te ahorras semanas de trámite.",Checklist completo. Formato que rinde en carrusel.,,
CAPTION,zona-que-la-sostiene,normal,zonas/zona,,"{zona} no se explica solo por el precio. Te muestro qué la sostiene: quién vive ahí, qué se está construyendo y cómo se llega. {cta}",Contenido de zona sin vender nada. Atrae seguidores locales.,,
CAPTION,zona-tiempo-de-venta,normal,zonas/zona,,"Cuando me preguntan por {zona}, lo primero que reviso no es el precio: es cuánto tarda en venderse lo que se publica ahí. Eso dice más del mercado que cualquier lista.",Muestra criterio profesional en una sola frase.,,
CAPTION,tendencia-cuanto-tarda,normal,tendencias/mercado,,"Lo que más me preguntan últimamente en {zona} no es cuánto cuesta, sino cuánto tarda en rentarse. La respuesta cambia mucho de una calle a otra. ¿Te la busco para tu caso?","Tendencia contada desde la experiencia propia, sin inventar cifras.",,
CAPTION,avaluo-precio-alto,normal,avaluo/precio,,"Poner un precio alto para después negociar suele salir caro. Los primeros treinta días son cuando más se ve tu propiedad, y si el precio espanta, ese impulso no regresa. {cta}",Argumento de captación que el dueño entiende de inmediato.,,
CAPTION,avaluo-comparables,normal,avaluo/precio,,"El precio de tu propiedad no lo decide lo que necesitas, lo decide lo que se está vendiendo alrededor. Te puedo mostrar los comparables reales de {zona}.","Ofrece una entrega concreta, no una asesoría abstracta.",,
CAPTION,inversion-tres-cosas,normal,consejo/inversion,,"Invertir en ladrillo no es solo comprar barato. Es comprar algo que se rente rápido, que se pueda vender después y que no te dé un dolor de cabeza cada mes. ¿Buscas para vivir o para rentar?",La pregunta final segmenta al prospecto en la respuesta.,,
CAPTION,inversion-sin-dudas,normal,frase/inversion,,"La mejor propiedad no es la más barata, es la que no te deja dudas. Si algo te incomoda en la visita, te va a incomodar todos los días.","Frase corta, el formato más publicado. Funciona sola.",,
CAPTION,primera-empieza-banco,normal,consejo/primera_vivienda,,"Comprar tu primera propiedad no empieza en el anuncio, empieza en el banco. Ordena tu buró, junta tres meses de comprobantes y ahí sí salimos a buscar. {cta}",Le habla al segmento más grande y más perdido.,,
CAPTION,errores-tres-caros,normal,consejo/errores,,"Tres cosas que salen caras al comprar: firmar sin revisar el régimen de condominio, no preguntar por el mantenimiento y confiar en fotos tomadas con gran angular. Las tres se resuelven en una visita.","Estructura de lista, ideal para carrusel de tres puntos.",,
CAPTION,pregunta-comprar-rentar,normal,pregunta/decision,,¿Comprar o rentar? La respuesta honesta es que depende de cuánto tiempo te vas a quedar. Cuéntame tu caso y te digo qué te conviene.,Pregunta de decisión: de las que más responden por mensaje directo.,,
CAPTION,pregunta-donde-vivirias,normal,pregunta/aspiracional,,"¿En qué zona te gustaría vivir si el presupuesto no fuera el tema? Te leo, y de paso te digo qué hay cerca dentro de tu rango real.",Aspiracional pero aterriza en una conversación útil.,,
CAPTION,operacion-captacion,normal,operacion/captacion,,"Nueva propiedad en {zona}. La conozco por dentro, así que en dos minutos te digo si vale la pena que la veas o si mejor te aviso cuando salga otra. {cta}",Acompaña la pieza de captación. Filtra en vez de empujar.,,
CAPTION,operacion-captacion-rescate,normal,operacion/captacion,,Tomé una propiedad en {zona} que llevaba meses sin moverse con otra estrategia. A veces no es el inmueble: es cómo se está contando.,Captación indirecta. Le habla al dueño frustrado que la está viendo.,,
CAPTION,operacion-cierre,normal,operacion/cierre,,"Cerramos otra operación en {zona}. Gracias por la confianza. Cada cierre se logra con trabajo y con gente que decide bien acompañada. Si estás pensando en vender, hablemos.",Acompaña la pieza de cierre exitoso. Celebra sin presumir.,,
CAPTION,operacion-entrega,normal,operacion/cierre,,"Entregamos llaves esta semana. Lo que no se ve en la foto: dos meses de trámites, un avalúo y muchas preguntas resueltas. Eso es lo que hago. {cta}",Muestra el trabajo detrás del resultado.,,
CAPTION,frase-propiedad-perfecta,normal,frase/mentalidad,,No existe la propiedad perfecta. Existe la que se ajusta a cómo vives hoy y a cómo vas a vivir en cinco años.,"Frase de mentalidad, descansa el feed entre piezas informativas.",,
CAPTION,frase-papeles-antes,normal,frase/mentalidad,,El mejor momento para ordenar tus papeles es antes de que aparezca el comprador.,Una línea. Funciona en historia y en frase corta.,,
CAPTION,temporada-diciembre,normal,festividades/temporada,,Diciembre parece mal mes para vender y no lo es: hay menos propiedades publicadas y quien busca en estas fechas busca en serio. {cta},Contenido de temporada con un argumento real detrás.,,
CAPTION,temporada-inicio-ano,normal,festividades/temporada,,"Empieza el año con esto resuelto: revisa que tu predial esté al corriente y que tus escrituras estén completas. El día que vendas o heredes, ya está listo.",Enero. Utilidad concreta en un momento en que la gente ordena cosas.,,
CAPTION,reel-recorrido,normal,reel/recorrido,,Te llevo a ver una propiedad en {zona} sin edición y sin filtros: lo que ves es lo que hay. ¿Qué te gustaría que revisara en la próxima?,Acompaña la idea sin diseño del reel. La pregunta final alimenta el siguiente.,,
CAPTION,compra-luz-emoji,con_emojis,consejo/compra,,"Si visitas una propiedad de día y las luces están todas prendidas, pregunta por qué 👀 A veces es costumbre, a veces es que entra poca luz natural. {cta}","Ejemplo del registro con emoji, para los asesores que sí los usan.",,
CAPTION,venta-lista-emoji,con_emojis,requisitos/venta,,"¿Vas a vender este año? Junta esto desde ahora 👇🏽 escrituras, predial al corriente, régimen de condominio y una identificación vigente. Con eso el cierre no se atora.","Muestra la regla del tono de piel: 👇🏽, no la carita amarilla.",,
